31,C
36,A
52,C
51,C
39,C
44,C
48,A
47,C
29,A
44,A
28,C
52,C
48,A
34,C
43,A
52,C
30,C
33,C
49,A
39,C
39,C
49,C
41,C
24,A
36,C
29,A
46,C
20,A
32,A
34,C
46,A
43,A
36,C
31,C
38,C
51,A
40,A
51,C
32,C
27,C
37,C
36,C
43,C
48,C
41,C
49,C
39,C
25,A
31,A
23,C
45,C
40,C
36,C
48,C
34,A
43,C
16,C
36,C
25,A
53,A
40,C
54,A
44,A
57,A
39,C
43,A
37,A
39,A
28,C
56,A
36,A
45,C
41,A
49,A
28,C
43,C
44,C
27,C
54,C
48,C
33,C
31,C
59,A
36,C
44,C
34,C
60,C
39,C
36,C
38,A
26,A
49,A
33,A
42,A
46,C
36,A
38,C
40,C
33,A
38,C
48,C
41,C
52,A
35,A
44,C
55,C
28,A
29,A
31,A
46,C
49,C
31,A
34,C
49,C
31,A
47,C
44,A
30,A
38,A
38,C
39,C
35,C
47,C
37,A
36,C
53,A
44,C
52,A
45,C
16,A
39,C
39,A
31,A
41,C
30,C
33,A
53,C
46,A
29,C
44,C
46,A
35,C
39,A
42,C
39,C
35,C
36,C
55,A
41,A
59,C
39,C
28,A
49,C
42,A
42,A
40,C
39,A
47,C
28,A
53,C
45,C
44,C
45,C
44,C
27,A
20,C
41,A
39,C
58,A
44,C
53,C
63,C
39,C
40,A
39,C
60,C
43,A
36,C
20,C
36,A
43,A
58,A
34,C
58,C
43,C
41,C
31,C
69,A
30,C
31,C
34,C
25,C
36,C
33,A
37,C
32,C
46,C
34,C
32,C
27,C
61,C
26,C
20,C
37,C
63,A
55,C
33,C
34,C
32,A
28,C
36,C
45,A
44,C
27,A
46,C
31,A
37,C
37,C
59,C
58,A
50,C
51,C
32,C
35,C
41,C
48,A
25,C
51,A
27,C
33,C
37,A
34,A
49,A
33,A
46,A
39,A
34,C
33,A
28,C
31,C
50,A
40,C
31,A
40,A
39,A
50,C
43,A
47,A
42,C
29,A
43,C
54,C
41,A
39,C
34,A
32,A
44,A
42,C
48,C
53,A
42,A
31,C
32,A
39,C
30,C
41,C
29,C
26,C
34,A
40,C
55,A
31,A
25,C
41,A
47,A
49,C
44,C
16,A
47,C
28,C
24,A
46,C
48,C
32,C
29,C
34,C
24,C
39,A
33,C
41,C
31,C
46,C
48,A
44,C
44,C
43,C
43,A
37,C
22,C
35,A
51,A
31,C
46,C
34,C
28,C
50,C
49,C
29,C
33,C
42,C
28,C
52,A
26,A
49,A
35,A
56,C
59,C
27,A
57,C
27,C
38,C
47,A
36,C
46,A
48,C
38,C
36,A
46,A
38,A
28,C
46,C
49,A
33,A
39,C
54,C
29,C
32,A
40,C
38,C
54,A
40,C
46,A
51,A
39,A
52,C
41,C
19,C
59,C
38,A
59,A
44,C
44,A
34,C
35,C
48,A
25,C
41,C
39,C
61,C
47,A
46,A
43,C
26,A
37,A
36,C
39,C
24,C
42,A
36,C
30,C
29,C
46,C
59,C
38,A
49,A
44,C
33,A
43,A
38,C
54,C
47,A
26,C
41,A
49,C
29,C
49,C
21,C
22,A
42,C
37,A
42,A
38,A
51,A
21,C
29,C
49,C
39,A
25,A
45,C
59,C
46,A
50,A
53,C
49,C
46,C
47,C
34,C
69,A
17,C
32,A
49,C
41,C
30,C
30,A
45,A
37,C
27,A
44,A
35,C
41,C
46,C
44,A
28,C
46,C
36,A
39,A
32,C
68,A
46,C
32,A
59,C
46,C
25,A
31,C
58,C
49,C
49,C
20,C
44,C
34,C
45,A
49,C
53,C
41,C
44,A
44,C
47,A
29,C
30,C
41,A
44,C
50,C
50,A
44,C
50,C
39,C
22,A
41,A
42,A
26,A
36,A
30,A
37,C
28,A
40,C
33,C
32,C
27,C
36,C
60,C
50,C
50,C
46,C
44,C
30,A
53,C
38,C
25,A
39,C
37,C
57,A
36,C
44,C
23,A
37,C
46,C
43,C
41,C
43,C
53,A
24,A
53,A
31,C
49,A
35,A
54,C
47,A
51,C
37,A
56,A
66,A
29,A
40,C
20,C
41,A
28,C
57,C
40,A
38,C
49,C
42,C
34,A
48,C
33,A
31,C
52,A
43,C
39,A
50,A
50,A
47,C
56,C
54,C
32,A
27,C
43,A
37,A
35,C
34,C
23,C
50,C
52,C
45,C
44,A
24,A
33,A
30,C
46,A
35,A
42,C
54,C
39,C
44,A
37,C
68,C
34,A
30,A
35,A
58,C
32,C
40,C
25,A
60,A
41,C
40,C
29,C
43,C
34,A
54,C
56,C
48,A
39,C
41,A
36,C
49,C
47,C
29,C
42,A
37,A
56,A
54,C
31,C
46,A
39,C
47,A
33,C
53,A
45,C
46,C
33,A
46,C
39,A
45,A
63,A
32,C
26,A
44,A
40,C
41,C
39,C
39,A
38,A
48,C
33,C
42,A
20,A
55,C
33,C
38,C
33,C
49,A
33,C
25,C
43,C
61,C
31,A
26,C
43,A
60,A
45,C
18,A
28,A
42,C
41,C
52,A
60,C
43,C
58,C
44,A
